FMID,MarketName,Website,Street,City,County,State,Zip,Schedule,x,y,Location,Credit,WIC,WICcash,SFMNP,SNAP,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine,updateTime
22001276,0.4 French Broad Food Coop Arts & Farms Market,,76 Biltmore Ave. next to the French Broad Food Co-op.,Asheville,Buncombe,North Carolina,28801,,-82.5502,35.5919,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
1003197,0.4 Asheville City Market,http://www.asapconnections.org/citymarket.html,161 South Charlotte St.,Asheville,Buncombe,North Carolina,28801,April - November Saturday 8:00 AM to 1:00 PM December Saturday 10:00 AM to 1:00 PM,-82.5486,35.5937,Local government building grounds,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,5/15/2012 11:00:27 AM
22002938,0.5 Greenlife Sunday Afternoon Local Market,http://www.greenlifegrocery.com,70 Merrimon Avenue,Asheville,Buncombe,North Carolina,28801,,-82.5542,35.6024,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
22002836,1.3 Mission Hospital Tailgate Market,http://www.madisonfarms.org,509 Biltmore Avenue,Asheville,Madison,North Carolina,28753,,-82.5492,35.5766,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
1002502,1.5 North Asheville Tailgate Market,http://www.northashevilletailgatemarket.org,1 University Heights,Asheville,Buncombe,North Carolina,28804,April - November Saturday 8:00 AM to 12:00 PM,-82.5664,35.6149,Federal/State government building grounds,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,5/7/2012 8:06:34 PM
22003467,2.4 West Asheville Tailgate Market,,757 Haywood Road,West Asheville,Buncombe,North Carolina,28806,,-82.5937,35.5783,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
1004234,2.9 Oakley Farmers Market,http://oakleyfarmersmarket.com,607 Fairview Road,Asheville,Buncombe,North Carolina,28803,May - October Thursday 2:00 PM to 6:00 PM,-82.5186414,35.5654525,"Faith-based institution (e.g., church, mosque, synagogue, temple)",Y,N,N,N,N,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,N,N,Y,Y,N,N,Y,N,N,7/9/2012 12:22:03 PM
21002893,3.6 WNC Farmers Market,http://wncfarmersmarket.org,570 Brevard Rd,Asheville,Buncombe,North Carolina,28806,January - December Monday - Sunday 8:00 am to 5:00 pm,-82.5978,35.5548,Federal/State government building grounds,N,N,N,N,N,Y,Y,Y,N,N,N,N,Y,Y,Y,N,Y,N,N,Y,N,Y,N,N,N,4/20/2011 1:20:33 PM
22003401,5.0 Victory Tailgate Market,,1329 Tunnel Road,Asheville,Buncomb,North Carolina,28805,,-82.4671,35.5836,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
22003050,5.3 Riceville Tailgate Market,,Riceville Community Center Parking Lot,Riceville,Buncombe,North Carolina,28805,,-82.4725,35.6309,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
1002504,6.7 Weaverville Tailgate Market,http://weavervilletailgate.org/,60 Lakeshore Drive,Weaverville,Buncombe,North Carolina,28787,April - October Wednesday 2:30 PM to 6:30 PM,-82.56912,35.69073,,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,N,5/7/2012 8:14:22 PM
22001986,6.8 Fairview Tailgate Market,,594 Old Charlotte Hwy,Fairview,Buncombe,North Carolina,28732,,-82.4505,35.5462,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
1001384,13.3 Black Mountain Tailgate Market,http://www.blackmountaintailgatemarket.org,130 Montreat Road,Black Mountain,Buncombe,North Carolina,28711,May - November Saturday 9:00 AM to 12:00 PM,-82.3217446,35.6208614,"Faith-based institution (e.g., church, mosque, synagogue, temple)",Y,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,4/29/2012 11:36:58 AM
22002896,13.4 Big Ivy Tailgate Market,,540 Dillingham Rd,Barnardsville,Buncombe,North Carolina,28709,,-82.4319,35.7599,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
1000770,14.3 Mills River Farmers' Market,,Highway 280 G& B Energy Center,MIlls River,Henderson,North Carolina,28759,May - October Saturday 8:00 AM to 12:00 PM,-82.5668,35.3884,Private business parking lot,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,4/26/2012 1:27:10 PM
22000735,15.6 Market on South Main,,133 S. Main,Marshall,Madison,North Carolina,28753,,-82.6815,35.7965,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,May 21 2010 1:50PM
22002766,15.7 Sundays on the Island,,Blanahasset Island,Marshall,Madison,North Carolina,,,-82.684,35.7973,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
1001165,16.0 Madison County Farmers & Artisans Market,http://www.marshillmarket.org,Hwy 213,Mars Hill,Madison,North Carolina,28754,April - October Saturday 9:00 AM to 1:00 PM,-82.55427,35.8264,Educational institution,N,N,N,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,N,Y,N,N,4/26/2012 11:07:54 PM
22001679,16.5 Canton Farmers Market,,58 Park St. across the street from museum,Canton,Haywood,North Carolina,28716,,-82.8397,35.5325,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
22003030,19.8 Hendersonville Community Coop Tailgate Market,,On Old Spartanburg Hwy between Hwy 25 and 176,Hendersonville,Henderson,North Carolina,28792,,-82.461,35.3187,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
22003031,20.1 Hendersonville Curb Market,http://www.curbmarket.com,"Church St.(US 25 South), directly across from the old courthouse",Hendersonville,Henderson,North Carolina,,,-82.461,35.3142,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
1004540,23.3 Flat Rock Tailgate Market,,2720 Greenville Hwy.,Flat Rock,Henderson,North Carolina,28731,May - October Thursday 3:00 PM to 6:00 PM,-82.4413145,35.2707502,Private business parking lot,N,N,N,N,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,N,6/1/2012 10:33:02 AM
22003278,25.2 Waynesville Tailgate Market,,171 Legion Dr.,Waynesville,Haywood,North Carolina,28786,,-82.9868,35.4924,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
1002033,25.4 Haywood's Historic Farmers Market,http://waynesvillefarmersmarket.com,250 Pigeon Street,Waynesville,Haywood,North Carolina,28786,"April - October Wednesday 8:00 AM to 12:00 PM, Saturday 8:00 AM to 12:00 PM, (Most Saturdays we have local live music--check our website for our once a month ""party' days--cooking demos & special events )",-82.987375,35.486742,Private business parking lot,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,N,5/1/2012 3:42:27 PM
22002897,26.5 Yancey County Farmers' Market,,10 South Main Street,Burnsville,Yancey,North Carolina,28714,,-82.2998,35.9166,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
21004848,26.9 Transylvania Tailgate Association,,190 E. Main Street,Brevard,Transylvania,North Carolina,28712,January - December Saturday 8:00 am to 12:00 pm,-82.7319,35.232,Private business parking lot,N,N,N,N,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,Y,N,N,5/5/2011 4:26:49 PM
21004344,27.2 Columbus Farmers' Market,http://www.polkcountyfarms.org,100 Irving Street,Saluda,Polk,North Carolina,,January - December,-82.3542,35.237,Local government building grounds,N,N,N,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,Y,N,N,5/2/2011 2:52:11 PM
22003079,29.5 Maggie Valley Farmers Tailgate Market,,2701 Soco Road,Maggie Valley,Haywood,North Carolina,28751,,-83.0702,35.5126,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
22004102,30.3 Rockcastle County Farmers Market III,,Highway 25 South,Livingston,Rockcastle,Kentucky,40445,,-82.4745,35.1604,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
22002762,30.5 Spruce Pine Farmers Market,,Upper Street,Spruce Pine,Mitchell,North Carolina,28777,,-82.1087,35.8458,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
1002648,31.1 Columbus Tailgate Market,http://www.polkcountyfarms.org,"Columbus Courthouse, Route 108",Columbus,Polk,North Carolina,28722,April - November Saturday 8:00 AM to 12:00 PM,-82.19851,35.25146,Closed-off public street,Y,N,N,N,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,N,5/9/2012 9:55:04 AM
21004344,31.1 Columbus Farmers' Market,http://www.polkcountyfarms.org,100 Courthouse Square,Columbus,Polk,North Carolina,28722,January - December Saturday 8:00 am to 11:30 am,-82.1987,35.2512,Local government building grounds,N,N,N,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,N,Y,Y,N,Y,Y,N,N,5/2/2011 2:52:11 PM
22000278,31.3 Historic Marion Tailgate Market,,69 West Henderson Street,Marion,McDowell,North Carolina,28752,,-82.0091,35.6827,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Apr 19 2010 4:24PM
21004344,32.1 Columbus Farmers' Market,http://www.polkcountyfarms.org,100 Depot Street,Tryon,Polk,North Carolina,,January - December Thursday 4:00 pm to 6:30 pm,-82.2396,35.2089,Local government building grounds,N,N,N,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,Y,N,N,5/2/2011 2:52:11 PM
22002895,36.7 Bakersville Farmers Market,,86 North Mitchell Avenue,Bakersviile,Mitchell,North Carolina,28705,,-82.1572,36.0159,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
22003284,36.8 Rural Resources Mobile Farmers Market,,,Greeneville,Greene,Tennessee,37743,,-82.8027,36.0878,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
